StateDistrictMarket,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Freshness
90,22,57,0,4100.0,4500.0,4350.0,6
90,28,311,0,2200.0,3000.0,2450.0,6
90,32,81,0,2350.0,3000.0,2700.0,6
90,40,87,0,7000.0,7500.0,7250.0,6
90,60,112,0,8400.0,9000.0,8850.0,6
90,86,182,0,11000.0,14000.0,12500.0,6
90,92,180,0,7200.0,8000.0,7550.0,6
90,101,194,0,6800.0,7500.0,7350.0,6
90,125,252,0,1850.0,2550.0,2200.0,6
90,220,256,0,9800.0,10000.0,9950.0,6
195,8,311,1,10000.0,20000.0,15000.0,6
254,8,31,2,20000.0,21000.0,20500.0,6
254,8,244,2,8000.0,13000.0,10500.0,6
254,14,44,2,3500.0,4000.0,3750.0,6
254,18,50,0,3500.0,4000.0,3750.0,6
254,22,311,0,3800.0,4000.0,3900.0,6
254,23,311,0,3500.0,4000.0,3750.0,6
254,27,72,0,2800.0,3800.0,3300.0,6
254,28,74,0,5000.0,5200.0,5100.0,6
254,32,81,0,2200.0,2500.0,2350.0,6
254,34,83,0,11000.0,12000.0,11500.0,6
254,37,84,0,3000.0,3500.0,3250.0,6
254,40,87,0,4500.0,7000.0,4750.0,6
254,58,107,0,4000.0,4500.0,4250.0,6
254,60,112,0,14000.0,15000.0,14500.0,6
254,66,311,0,3000.0,4000.0,3500.0,6
254,81,311,0,6000.0,7000.0,6500.0,6
254,82,36,0,10000.0,13000.0,11500.0,6
254,86,311,0,19000.0,20000.0,19500.0,6
254,92,180,0,5500.0,6000.0,5750.0,6
254,103,311,2,8000.0,11500.0,9750.0,6
254,109,220,2,3500.0,4000.0,3750.0,6
254,125,311,0,4500.0,4800.0,4650.0,6
254,137,143,2,3000.0,4500.0,3750.0,6
254,137,426,2,5000.0,6000.0,5500.0,6
254,141,311,0,3000.0,3500.0,3250.0,6
254,148,311,2,4500.0,5000.0,4750.0,6
254,154,311,0,2000.0,2200.0,2100.0,6
254,161,311,2,4200.0,4500.0,4350.0,6
